head.coach,N,total.min.minus.ev,ave.min.minus.ev,total.min,total.ev,rel.diff
Mo Johnston,9,2120.6786066077,235.6309562897,13463,11342.3213933923,0.1869704211
Curt Onalfo,15,6957.5231279233,463.8348751949,22504,15546.4768720767,0.447530536
Sigi Schmid,34,-4955.0967138397,-145.7381386423,22719,27674.0967138397,-0.1790517958
Piotr Nowak,12,5250.7416453874,437.5618037823,21276,16025.2583546126,0.3276541026
Teitur Thordarson,4,-1173.979852312,-293.494963078,5601,6774.979852312,-0.1732816743
Jesse Marsch,5,-3082.5513586128,-616.5102717226,1906,4988.5513586128,-0.6179251524
Jay Heaps,11,-328.5481853699,-29.8680168518,14195,14523.5481853699,-0.0226217575
John Hackworth,10,-4277.5721358056,-427.7572135806,3797,8074.5721358056,-0.5297583654
Adrian Heath,5,-655.7626742295,-131.1525348459,4567,5222.7626742295,-0.1255585818
Dave Sarachan,5,-1950.9272479545,-390.1854495909,4935,6885.9272479545,-0.2833209207
Steve Morrow,10,-10270.7218938971,-1027.0721893897,2328,12598.7218938971,-0.8152193516
John Carver,5,2544.5075929567,508.9015185913,10795,8250.4924070433,0.3084067553
Hans Backe,10,2295.4648619346,229.5464861935,12043,9747.5351380655,0.2354918274
John Spencer,4,-1774.0445350431,-443.5111337608,4654,6428.0445350431,-0.2759851033
Martin Rennie,4,-2117.3274739425,-529.3318684856,7048,9165.3274739425,-0.2310149288
Jose Luis Sanchez Sola,1,571.0717042268,571.0717042268,3650,3078.9282957732,0.185477429
Ben Olsen,11,8702.144382392,791.1040347629,21296,12593.855617608,0.6909833372
Patrick Vieira,4,-2250.5723082414,-562.6430770604,2140,4390.5723082414,-0.5125920154
Jason Kreis,17,-3554.0868197628,-209.0639305743,11487,15041.0868197628,-0.2362918892
Bruce Arena,18,9720.1116479723,540.0062026651,23699,13978.8883520277,0.6953422478
Frank Yallop,26,1664.4345391788,64.0167130453,23753,22088.5654608212,0.0753527676
Ryan Nelsen,5,-1038.1919396663,-207.6383879333,5746,6784.1919396663,-0.1530310388
Carl Robinson,13,-4825.857227616,-371.2197867397,4504,9329.857227616,-0.5172487756
Frank Klopas,11,-1928.1823321393,-175.2893029218,8782,10710.1823321393,-0.1800326337
John Ellinger,2,-2857.5911752486,-1428.7955876243,326,3183.5911752486,-0.8975999172
Ruud Gullit,6,3220.5191690297,536.7531948383,8493,5272.4808309703,0.6108166672
Peter Vermes,20,1236.6852758279,61.8342637914,17791,16554.3147241721,0.0747047097
Robin Fraser,4,-2014.2327790775,-503.5581947694,5140,7154.2327790775,-0.2815442048
Aron Winter,6,1998.7170500944,333.1195083491,8211,6212.2829499056,0.3217363192
Dominic Kinnear,23,6252.1301547717,271.8317458596,24495,18242.8698452283,0.3427163713
Steve Nicol,28,12473.308051368,445.4752875489,35846,23372.691948632,0.5336701514
Fernando Clavijo,9,-3509.7308520618,-389.9700946735,5294,8803.7308520618,-0.3986640336
Schellas Hyndman,15,3095.5893049728,206.3726203315,19306,16210.4106950272,0.1909630399
Caleb Porter,13,-6609.6679234328,-508.4359941102,1060,7669.6679234328,-0.861793234
Tom Soehn,13,-1599.0992378639,-123.0076336818,9983,11582.0992378638,-0.1380664424
Oscar Pareja,10,4716.8089777451,471.6808977745,15475,10758.1910222549,0.4384388572
Greg Vanney,8,-6008.6425109984,-751.0803138748,1527,7535.6425109984,-0.7973629989
Preki,8,-1400.0197233557,-175.0024654195,5604,7004.0197233557,-0.1998880327
Denis Hamlett,10,170.1706901749,17.0170690175,7799,7628.8293098251,0.0223062653
Robert Warzycha,17,-2968.2642562633,-174.6037797802,11662,14630.2642562633,-0.2028852114
Marco Schallibaum,4,-3648.2147298728,-912.0536824682,438,4086.2147298728,-0.8928103321
Owen Coyle,4,-2887.7775930248,-721.9443982562,565,3452.7775930248,-0.8363636276
Carlos de los Cobos,8,5601.3207802508,700.1650975313,11725,6123.6792197492,0.9146985953
Mark Watson,5,-1195.5395536536,-239.1079107307,1886,3081.5395536536,-0.3879682648
Martin Vasquez,5,3205.3535470492,641.0707094098,6714,3508.6464529508,0.9135584306
Juan Carlos Osorio,7,3948.0088057276,564.0012579611,9688,5739.9911942724,0.6878074673
Pablo Mastroeni,11,5031.8734192259,457.4430381114,11088,6056.1265807741,0.8308732243
Gregg Berhalter,8,-3576.5578578162,-447.069732227,801,4377.5578578162,-0.8170212648
Gary Smith,12,-4922.4401937965,-410.203349483,1081,6003.4401937965,-0.8199365755
Jeff Cassar,6,-1998.5292638722,-333.0882106454,238,2236.5292638722,-0.893585117
Jesss,1,-493.382465181,-493.382465181,353,846.382465181,-0.5829308681
Wilmer Cabrera,3,303.5203808505,101.1734602835,1881,1577.4796191495,0.1924084325
Mike Petke,3,1169.7864981683,389.9288327228,3084,1914.2135018317,0.6111055517
Jim Curtin,4,-1352.1511641077,-338.0377910269,19,1371.1511641077,-0.9861430304
